Race,Year,State,Deaths,Population,Crude_Rate,Age_Adj_Death_Rate
Black,2003,District of Columbia,67,340751,19.7,18.8
Black,2003,Florida,214,2700143,7.9,16.3
Black,2003,Georgia,230,2571491,8.9,19.3
Black,2003,Illinois,220,1942340,11.3,19.7
Black,2003,Indiana,70,565411,12.4,22.8
Black,2003,Kansas,24,173096,13.9,26.2
Black,2003,Kentucky,30,322254,9.3,15.1
Black,2003,Louisiana,195,1496609,13,22.3
Black,2003,Maryland,116,1621856,7.2,14.8
Black,2003,Massachusetts,24,464146,5.2,11.4
Black,2003,Michigan,113,1488590,7.6,12.9
Black,2003,Minnesota,12,231089,,
Black,2003,Mississippi,123,1053803,11.7,18.1
Black,2003,Missouri,52,676844,7.7,12.8
Black,2003,Nevada,19,181213,,
Black,2003,New Jersey,75,1279601,5.9,11.3
Black,2003,New York,93,3471007,2.7,4.5
Black,2003,North Carolina,265,1869334,14.2,22.2
Black,2003,Ohio,190,1413170,13.4,21.5
Black,2003,Oklahoma,34,287387,11.8,22.8
Black,2003,Oregon,12,76251,,
Black,2003,Pennsylvania,111,1349739,8.2,12.4
Black,2003,South Carolina,154,1231581,12.5,19.5
Black,2003,Tennessee,123,993443,12.4,21.9
Black,2003,Texas,269,2646739,10.2,20.7
Black,2003,Virginia,170,1496240,11.4,18.6
Black,2003,Washington,27,250925,10.8,33.3
Black,2003,West Virginia,11,62866,,
Black,2003,Wisconsin,27,346353,7.8,25
Black,2004,Alabama,222,1199192,18.5,26.7
Black,2004,Arizona,31,226956,13.7,40.3
Black,2004,Arkansas,40,438712,9.1,13.2
Black,2004,California,359,2603152,13.8,25.3
Black,2004,Colorado,24,208322,11.5,34.5
Black,2004,Connecticut,28,375875,7.4,17.1
Black,2004,Delaware,14,175605,,
Black,2004,District of Columbia,66,335297,19.7,18.6
Black,2004,Florida,209,2786446,7.5,15.6
Black,2004,Georgia,266,2635336,10.1,21.9
Black,2004,Illinois,261,1944473,13.4,23.7
Black,2004,Indiana,75,575734,13,24.5
Black,2004,Kansas,25,175310,14.3,28
Black,2004,Kentucky,38,328546,11.6,19.1
Black,2004,Louisiana,228,1509822,15.1,25.9
Black,2004,Maryland,158,1652016,9.6,19.2
Black,2004,Massachusetts,33,472524,7,15.8
Black,2004,Michigan,124,1492884,8.3,13.8
Black,2004,Mississippi,109,1062637,10.3,16.2
Black,2004,Missouri,70,685468,10.2,17.6
Black,2004,Nevada,10,194114,,
Black,2004,New Jersey,92,1288238,7.1,13.8
Black,2004,New York,111,3464246,3.2,5.2
Black,2004,North Carolina,290,1901343,15.3,24.1
Black,2004,Ohio,215,1427023,15.1,23.9
Black,2004,Oklahoma,45,290375,15.5,30.4
Black,2004,Pennsylvania,116,1372319,8.5,12.8
Black,2004,South Carolina,211,1244041,17,26.6
Black,2004,Tennessee,151,1009077,15,26.9
Black,2004,Texas,325,2697339,12,24.5
Black,2004,Virginia,191,1519571,12.6,20.8
Black,2004,Washington,26,257470,10.1,32.1
Black,2004,West Virginia,11,63682,,
Black,2004,Wisconsin,19,352749,,
Black,2005,Alabama,218,1210903,18,25.7
Black,2005,Arizona,32,243074,13.2,39.2
Black,2005,Arkansas,64,442674,14.5,20.6
Black,2005,California,396,2615407,15.1,27
Black,2005,Colorado,23,211476,10.9,31.9
Black,2005,Connecticut,25,381552,6.6,14.1
Black,2005,Delaware,15,181480,,
Black,2005,District of Columbia,74,329329,22.5,20.4
Black,2005,Florida,242,2881786,8.4,17.1
Black,2005,Georgia,248,2702396,9.2,19.7
Black,2005,Illinois,261,1944853,13.4,23
Black,2005,Indiana,89,586943,15.2,27.9
Black,2005,Kansas,27,176749,15.3,29.5
Black,2005,Kentucky,33,334402,9.9,16.2
Black,2005,Louisiana,255,1521031,16.8,28.4
Black,2005,Maryland,144,1680707,8.6,17
Black,2005,Massachusetts,32,481830,6.6,14.7
Black,2005,Michigan,114,1494262,7.6,12.5
Black,2005,Mississippi,126,1070369,11.8,18.5
Black,2005,Missouri,85,694231,12.2,20.8
Black,2005,Nevada,16,207275,,
Black,2005,New Jersey,117,1293607,9,16.7
Black,2005,New York,115,3457681,3.3,5.3
Black,2005,North Carolina,295,1936792,15.2,24
Black,2005,Ohio,296,1441701,20.5,32.3
Black,2005,Oklahoma,49,293204,16.7,33.5
Black,2005,Pennsylvania,138,1395186,9.9,14.6
Black,2005,South Carolina,206,1255105,16.4,25.4
Black,2005,Tennessee,170,1026372,16.6,30.1
Black,2005,Texas,370,2753898,13.4,27.4
Black,2005,Virginia,221,1541027,14.3,23.3
Black,2005,Washington,40,264736,15.1,44.7
Black,2005,West Virginia,10,64664,,
Black,2005,Wisconsin,36,359771,10,32.6
Black,2006,Alabama,211,1230534,17.1,24.9
Black,2006,Arizona,27,262150,10.3,30.4
Black,2006,Arkansas,66,450382,14.7,21.7
Black,2006,California,351,2626937,13.4,23.5
Black,2006,Colorado,25,218810,11.4,32
Black,2006,Connecticut,24,388120,6.2,13.3
Black,2006,Delaware,12,187148,,
Black,2006,District of Columbia,75,325064,23.1,21
Black,2006,Florida,267,2969250,9,18.4
Black,2006,Georgia,284,2805927,10.1,22.1
Black,2006,Illinois,238,1947836,12.2,20.4
Black,2006,Indiana,68,600368,11.3,20.9
Black,2006,Iowa,10,90031,,
Black,2006,Kansas,21,180509,11.6,22.4
Black,2006,Kentucky,57,339736,16.8,27.7
Black,2006,Louisiana,223,1369467,16.3,27.2
Black,2006,Maryland,148,1705298,8.7,16.6
Black,2006,Massachusetts,40,492621,8.1,17.6
Black,2006,Michigan,128,1494911,8.6,13.6
Black,2006,Mississippi,149,1080399,13.8,22
Black,2006,Missouri,73,704464,10.4,17.5
Black,2006,Nevada,12,221504,,
Black,2006,New Jersey,69,1298653,5.3,9.8
Black,2006,New York,94,3453892,2.7,4.2
Black,2006,North Carolina,304,1986797,15.3,23.9
Black,2006,Ohio,276,1457396,18.9,29.2
Black,2006,Oklahoma,47,299029,15.7,31.3
Black,2006,Pennsylvania,129,1421259,9.1,13.4
Black,2006,South Carolina,212,1273536,16.6,25.7
Black,2006,Tennessee,184,1047600,17.6,32.1
Black,2006,Texas,333,2904002,11.5,23.4
Black,2006,Virginia,175,1565510,11.2,17.9
Black,2006,Washington,38,275137,13.8,40.7
Black,2006,Wisconsin,36,367132,9.8,30.3
Black,2007,Alabama,242,1243867,19.5,28.6
Black,2007,Arizona,37,278537,13.3,40.4
Black,2007,Arkansas,67,453433,14.8,22.2
Black,2007,California,398,2639369,15.1,25.9
Black,2007,Colorado,25,224746,11.1,30
Black,2007,Connecticut,27,394640,6.8,14
Black,2007,Delaware,16,192615,,
Black,2007,District of Columbia,84,321494,26.1,22.7
Black,2007,Florida,257,3029024,8.5,16.9
Black,2007,Georgia,251,2891925,8.7,18.9
Black,2007,Illinois,250,1951157,12.8,20.9
Black,2007,Indiana,81,612333,13.2,24
Black,2007,Kansas,27,183812,14.7,28.5
Black,2007,Kentucky,40,347061,11.5,19.2
Black,2007,Louisiana,214,1411396,15.2,25.4
Black,2007,Maryland,154,1724204,8.9,16.8
Black,2007,Massachusetts,32,503993,6.3,13
Black,2007,Michigan,121,1492428,8.1,12.4
Black,2007,Mississippi,152,1092496,13.9,22.2
Black,2007,Missouri,88,712454,12.4,21
Black,2007,New Jersey,119,1304334,9.1,15.9
Black,2007,New York,119,3456802,3.4,5.2
Black,2007,North Carolina,325,2035660,16,24.8
Black,2007,Ohio,283,1473382,19.2,29
