Race,Year,State,Deaths,Population,Crude_Rate,Age_Adj_Death_Rate
Black,2015,South Carolina,402,1387150,29,38.4
Black,2015,Tennessee,291,1167771,24.9,39.9
Black,2015,Texas,669,3557565,18.8,34.3
Black,2015,Virginia,294,1729691,17,23
Black,2015,Washington,61,366391,16.6,42.1
Black,2015,West Virginia,16,76375,,
Black,2015,Wisconsin,57,415631,13.7,33.9
Black,2016,Alabama,375,1329648,28.2,37.1
Black,2016,Arizona,73,385444,18.9,43.1
Black,2016,Arkansas,127,484598,26.2,38.2
Black,2016,California,854,2829264,30.2,39.8
Black,2016,Colorado,37,289206,12.8,26.4
Black,2016,Connecticut,51,449615,11.3,18.2
Black,2016,Delaware,52,225293,23.1,33.2
Black,2016,District of Columbia,75,334736,22.4,18.1
Black,2016,Florida,434,3597739,12.1,17.1
Black,2016,Georgia,731,3384642,21.6,39
Black,2016,Illinois,399,1953836,20.4,25.4
Black,2016,Indiana,141,692488,20.4,33.1
Black,2016,Iowa,15,135448,,
Black,2016,Kansas,28,206845,13.5,23.2
Black,2016,Kentucky,72,395083,18.2,27.2
Black,2016,Louisiana,431,1554167,27.7,39.9
Black,2016,Maryland,215,1907689,11.3,15.5
Black,2016,Massachusetts,53,634682,8.4,13.7
Black,2016,Michigan,317,1488644,21.3,26
Black,2016,Minnesota,15,383880,,
Black,2016,Mississippi,290,1142681,25.4,36.5
Black,2016,Missouri,141,765154,18.4,25.9
Black,2016,Nebraska,17,108122,,
Black,2016,Nevada,36,313615,11.5,19.7
Black,2016,New Jersey,179,1401290,12.8,17.1
Black,2016,New Mexico,12,62757,,
Black,2016,New York,322,3667316,8.8,10.2
Black,2016,North Carolina,594,2333929,25.5,34.7
Black,2016,Ohio,380,1592236,23.9,30
Black,2016,Oklahoma,77,348988,22.1,40.8
Black,2016,Oregon,12,112667,,
Black,2016,Pennsylvania,200,1599349,12.5,16.2
Black,2016,Rhode Island,11,96458,,
Black,2016,South Carolina,450,1398222,32.2,42.3
Black,2016,Tennessee,290,1177064,24.6,39.3
Black,2016,Texas,697,3634085,19.2,35
Black,2016,Virginia,353,1741448,20.3,27
Black,2016,Washington,49,376367,13,33
Black,2016,West Virginia,12,75405,,
Black,2016,Wisconsin,43,417195,10.3,24.9
Black,2017,Alabama,422,1335240,31.6,41
Black,2017,Arizona,66,397421,16.6,36.7
Black,2017,Arkansas,136,487926,27.9,40.2
Black,2017,California,954,2841787,33.6,43.8
Black,2017,Colorado,45,295430,15.2,33.1
Black,2017,Connecticut,35,456300,7.7,11.6
Black,2017,Delaware,51,230038,22.2,31.7
Black,2017,District of Columbia,85,336542,25.3,20.1
Black,2017,Florida,420,3678445,11.4,16.4
Black,2017,Georgia,777,3447386,22.5,39.3
Black,2017,Illinois,406,1950271,20.8,24.4
Black,2017,Indiana,143,702537,20.4,32.4
Black,2017,Iowa,23,141575,16.2,52.9
Black,2017,Kansas,25,207469,12,21.1
Black,2017,Kentucky,76,401334,18.9,28.7
Black,2017,Louisiana,412,1558498,26.4,37.2
Black,2017,Maryland,261,1926348,13.5,17.7
Black,2017,Massachusetts,44,653142,6.7,10.8
Black,2017,Michigan,316,1493499,21.2,25.7
Black,2017,Minnesota,27,406448,6.6,25.6
Black,2017,Mississippi,319,1142650,27.9,40
Black,2017,Missouri,186,768926,24.2,33.2
Black,2017,Nebraska,18,111036,,
Black,2017,Nevada,42,328672,12.8,24
Black,2017,New Jersey,211,1412387,14.9,19.1
Black,2017,New Mexico,12,63539,,
Black,2017,New York,321,3695842,8.7,9.5
Black,2017,North Carolina,643,2364451,27.2,35.3
Black,2017,Ohio,394,1613123,24.4,30.2
Black,2017,Oklahoma,54,351707,15.4,27
Black,2017,Oregon,13,117380,,
Black,2017,Pennsylvania,227,1617500,14,17.6
Black,2017,South Carolina,452,1409678,32.1,40.9
Black,2017,Tennessee,314,1189804,26.4,41.5
Black,2017,Texas,689,3717259,18.5,33.5
Black,2017,Virginia,336,1760262,19.1,24.5
Black,2017,Washington,42,387793,10.8,28.8
Black,2017,West Virginia,11,74674,,
Black,2017,Wisconsin,52,422159,12.3,27.4
Black,2018,Alabama,424,1338846,31.7,39.3
Black,2018,Arizona,79,413873,19.1,40.7
Black,2018,Arkansas,121,489759,24.7,34.7
Black,2018,California,935,2851095,32.8,41
Black,2018,Colorado,45,303260,14.8,30.1
Black,2018,Connecticut,32,459499,7,9.8
Black,2018,Delaware,58,233113,24.9,34.3
Black,2018,District of Columbia,75,336228,22.3,17
Black,2018,Florida,454,3736443,12.2,16.9
Black,2018,Georgia,855,3499496,24.4,41.2
Black,2018,Illinois,394,1940291,20.3,23.1
Black,2018,Indiana,135,713302,18.9,29.1
Black,2018,Iowa,15,146954,,
Black,2018,Kansas,28,207156,13.5,21.8
Black,2018,Kentucky,51,405485,12.6,19.1
Black,2018,Louisiana,446,1557173,28.6,38.7
Black,2018,Maryland,201,1932392,10.4,13.3
Black,2018,Massachusetts,48,669506,7.2,11.4
Black,2018,Michigan,276,1496029,18.4,21.7
Black,2018,Minnesota,25,423054,5.9,20.4
Black,2018,Mississippi,305,1145398,26.6,36.9
Black,2018,Missouri,190,772024,24.6,32.7
Black,2018,Nebraska,20,113369,17.6,39.9
Black,2018,Nevada,47,341394,13.8,25.6
Black,2018,New Jersey,209,1404125,14.9,18.5
Black,2018,New York,332,3634305,9.1,9.6
Black,2018,North Carolina,646,2394548,27,34.7
Black,2018,Ohio,352,1630541,21.6,26.4
Black,2018,Oklahoma,66,353715,18.7,32.1
Black,2018,Oregon,14,121398,,
Black,2018,Pennsylvania,191,1632313,11.7,14.7
Black,2018,Rhode Island,13,99936,,
Black,2018,South Carolina,448,1418868,31.6,39
Black,2018,Tennessee,272,1198663,22.7,34.1
Black,2018,Texas,759,3803248,20,35.4
Black,2018,Virginia,354,1773427,20,24.9
Black,2018,Washington,51,403402,12.6,32.8
Black,2018,West Virginia,10,75210,,
Black,2018,Wisconsin,49,427026,11.5,25
Black,2019,Alabama,417,1342306,31.1,38.3
Black,2019,Arizona,83,428589,19.4,40.9
Black,2019,Arkansas,130,491009,26.5,35.9
Black,2019,California,992,2853140,34.8,42.1
Black,2019,Colorado,54,309178,17.5,33.5
Black,2019,Connecticut,46,465439,9.9,14.3
Black,2019,Delaware,47,236868,19.8,26.9
Black,2019,District of Columbia,48,334846,14.3,11.1
Black,2019,Florida,430,3774446,11.4,15.3
Black,2019,Georgia,875,3549778,24.6,39.9
Black,2019,Illinois,384,1934399,19.9,22.1
Black,2019,Indiana,127,726166,17.5,26.6
Black,2019,Iowa,10,150737,,
Black,2019,Kansas,15,207755,,
Black,2019,Kentucky,67,408675,16.4,24.4
Black,2019,Louisiana,430,1556514,27.6,36.3
Black,2019,Maryland,213,1944767,11,13.3
Black,2019,Massachusetts,47,675621,7,10.6
Black,2019,Michigan,311,1497477,20.8,23.9
Black,2019,Minnesota,21,439435,4.8,16.7
Black,2019,Mississippi,360,1141493,31.5,43.5
Black,2019,Missouri,187,774069,24.2,31.2
Black,2019,Nebraska,18,115754,,
Black,2019,Nevada,48,353548,13.6,23.2
Black,2019,New Jersey,221,1404990,15.7,18.9
Black,2019,New Mexico,13,66216,,
Black,2019,New York,373,3611420,10.3,10.4
Black,2019,North Carolina,746,2421439,30.8,38.5
Black,2019,Ohio,368,1640963,22.4,27.1
Black,2019,Oklahoma,80,355533,22.5,37
Black,2019,Oregon,13,123019,,
Black,2019,Pennsylvania,195,1643677,11.9,14.6
Black,2019,Rhode Island,11,101969,,
Black,2019,South Carolina,421,1428188,29.5,35.6
Black,2019,Tennessee,273,1209147,22.6,34
Black,2019,Texas,786,3873093,20.3,35.1
Black,2019,Virginia,362,1781520,20.3,24.7
Black,2019,Washington,61,414916,14.7,36.1
Black,2019,West Virginia,15,74683,,
Black,2019,Wisconsin,57,429528,13.3,28.6
Black,2020,Alabama,511,1350111,37.8,45.8
Black,2020,Arizona,89,450623,19.8,40.1
Black,2020,Arkansas,167,494526,33.8,45.3
Black,2020,California,1158,2871450,40.3,47.5
Black,2020,Colorado,71,316428,22.4,43.6
Black,2020,Connecticut,38,476687,8,11.1
Black,2020,Delaware,72,242960,29.6,37.8
Black,2020,District of Columbia,55,335168,16.4,13.2
Black,2020,Florida,548,3840185,14.3,18.5
Black,2020,Georgia,1008,3606257,28,43.7
Black,2020,Illinois,526,1937515,27.1,29.6
Black,2020,Indiana,164,741160,22.1,33.6
Black,2020,Iowa,22,156619,14,45.7
Black,2020,Kansas,37,210495,17.6,29.1
Black,2020,Kentucky,65,413976,15.7,23.1
Black,2020,Louisiana,486,1561145,31.1,39.3
Black,2020,Maryland,255,1963360,13,15.3
Black,2020,Massachusetts,61,689362,8.8,13
Black,2020,Michigan,391,1499982,26.1,29.7
Black,2020,Minnesota,30,456060,6.6,22.5
Black,2020,Mississippi,424,1141283,37.2,49.7
Black,2020,Missouri,207,776770,26.6,33.8
Black,2020,Nebraska,25,118129,21.2,45.3
Black,2020,Nevada,83,368812,22.5,38
Black,2020,New Jersey,231,1421916,16.2,19.3
Black,2020,New Mexico,12,68577,,
Black,2020,New York,341,3604597,9.5,9.4
Black,2020,North Carolina,740,2453861,30.2,37
Black,2020,Ohio,470,1658318,28.3,33.5
Black,2020,Oklahoma,75,361521,20.7,34.7
Black,2020,Oregon,20,125990,15.9,39.3
Black,2020,Pennsylvania,269,1660533,16.2,19.7
Black,2020,Rhode Island,17,104211,,
Black,2020,South Carolina,458,1441509,31.8,37.4
Black,2020,Tennessee,313,1219237,25.7,37.5
Black,2020,Texas,981,3984144,24.6,42.8
Black,2020,Virginia,450,1801495,25,30.2
Black,2020,Washington,53,430125,12.3,30.6
Black,2020,West Virginia,11,75782,,
Black,2020,Wisconsin,67,435275,15.4,31.9
White,1999,Alabama,669,3211308,20.8,19.5
White,1999,Alaska,18,462052,,
White,1999,Arizona,938,4460582,21,21.1
White,1999,Arkansas,407,2187944,18.6,15.8
White,1999,California,4232,26492434,16,17.9
White,1999,Colorado,728,3882901,18.7,24.3
White,1999,Connecticut,436,2944775,14.8,11.6
White,1999,Delaware,100,601213,16.6,15.8
White,1999,District of Columbia,24,197359,12.2,12.7
White,1999,Florida,2922,12978723,22.5,14.5
White,1999,Georgia,929,5503608,16.9,20.5
White,1999,Hawaii,47,362728,13,16.8
White,1999,Idaho,243,1236009,19.7,21.5
White,1999,Illinois,1779,9951765,17.9,16.4
White,1999,Indiana,1056,5439927,19.4,19.1
White,1999,Iowa,701,2806468,25,18.2
White,1999,Kansas,495,2435163,20.3,16.6
White,1999,Kentucky,713,3676835,19.4,20
White,1999,Louisiana,580,2915561,19.9,20.1
White,1999,Maine,428,1241976,34.5,29.7
White,1999,Maryland,600,3511643,17.1,16.6
White,1999,Massachusetts,1155,5632754,20.5,16.7
White,1999,Michigan,1350,8186898,16.5,16.1
White,1999,Minnesota,1068,4484942,23.8,21.1
White,1999,Mississippi,294,1760835,16.7,15.2
White,1999,Missouri,868,4824973,18,15.3
White,1999,Montana,204,830780,24.6,21.6
White,1999,Nebraska,328,1594738,20.6,16.5
White,1999,Nevada,165,1657752,10,13.9
White,1999,New Hampshire,265,1192000,22.2,23.2
White,1999,New Jersey,974,6609191,14.7,12.3
White,1999,New Mexico,238,1563421,15.2,16.8
White,1999,New York,1305,14235763,9.2,7.7
White,1999,North Carolina,1268,5970867,21.2,21.9
White,1999,North Dakota,155,604999,25.6,18.3
White,1999,Ohio,1951,9816458,19.9,18.3
White,1999,Oklahoma,515,2800181,18.4,15.8
White,1999,Oregon,854,3154256,27.1,24.3
White,1999,Pennsylvania,2106,10734583,19.6,14.8
White,1999,Rhode Island,212,945387,22.4,16.8
White,1999,South Carolina,586,2729841,21.5,22.7
White,1999,South Dakota,153,678197,22.6,16.4
White,1999,Tennessee,866,4625327,18.7,18.5
White,1999,Texas,2671,17358613,15.4,19.3
White,1999,Utah,245,2092488,11.7,17.6
White,1999,Vermont,127,593357,21.4,20.6
White,1999,Virginia,810,5282184,15.3,16.8
White,1999,Washington,1542,5138607,30,30.5
White,1999,West Virginia,305,1740096,17.5,15
White,1999,Wisconsin,1151,4874589,23.6,20
White,1999,Wyoming,101,472739,21.4,23.7
White,2000,Alabama,757,3218218,23.5,21.8
White,2000,Alaska,39,460782,8.5,23.3
White,2000,Arizona,1024,4554233,22.5,22.5
White,2000,Arkansas,403,2203157,18.3,15.5
White,2000,California,4108,26748991,15.4,17
White,2000,Colorado,698,3941906,17.7,22.9
White,2000,Connecticut,517,2953244,17.5,13.5
White,2000,Delaware,98,605429,16.2,15.3
White,2000,District of Columbia,24,198984,12.1,12
White,2000,Florida,3099,13132090,23.6,15.1
White,2000,Georgia,1077,5572036,19.3,23.5
White,2000,Hawaii,35,360274,9.7,12.1
White,2000,Idaho,261,1250538,20.9,22.7
White,2000,Illinois,2003,9981520,20.1,18.3
White,2000,Indiana,1169,5460032,21.4,20.9
White,2000,Iowa,765,2805323,27.3,19.8
White,2000,Kansas,615,2437323,25.2,20.5
White,2000,Kentucky,817,3690141,22.1,22.7
White,2000,Louisiana,665,2912011,22.8,22.6
White,2000,Maine,465,1247712,37.3,31.7
White,2000,Maryland,713,3522415,20.2,19.3
White,2000,Massachusetts,1404,5642547,24.9,20.1
White,2000,Michigan,1548,8205268,18.9,18.2
White,2000,Minnesota,1139,4506574,25.3,22.3
White,2000,Mississippi,361,1770126,20.4,18.6
White,2000,Missouri,1045,4841938,21.6,18.3
White,2000,Montana,216,832467,25.9,22.6
White,2000,Nebraska,348,1594895,21.8,17.5
White,2000,Nevada,190,1705295,11.1,15.3
White,2000,New Hampshire,273,1202862,22.7,23.5
White,2000,New Jersey,1178,6629830,17.8,14.7
White,2000,New Mexico,266,1565780,17,18.4
White,2000,New York,1463,14263541,10.3,8.4
White,2000,North Carolina,1507,6037509,25,25.7
White,2000,North Dakota,209,600226,34.8,24.3
White,2000,Ohio,2153,9812402,21.9,20
White,2000,Oklahoma,608,2803557,21.7,18.5
White,2000,Oregon,894,3172360,28.2,25.2
White,2000,Pennsylvania,2468,10725447,23,17.1
White,2000,Rhode Island,235,949046,24.8,18.2
White,2000,South Carolina,739,2754751,26.8,27.7
White,2000,South Dakota,178,678523,26.2,18.8
White,2000,Tennessee,923,4657382,19.8,19.5
White,2000,Texas,2962,17575478,16.9,21.1
White,2000,Utah,338,2117025,16,23.8
White,2000,Vermont,133,595963,22.3,21.2
White,2000,Virginia,969,5324398,18.2,19.8
White,2000,Washington,1761,5166838,34.1,34.3
White,2000,West Virginia,349,1732909,20.1,17.2
White,2000,Wisconsin,1152,4891131,23.6,19.9
White,2000,Wyoming,99,473335,20.9,22.8
White,2001,Alabama,941,3225628,29.2,26.9
White,2001,Alaska,41,463818,8.8,22.9
White,2001,Arizona,1076,4669299,23,23
White,2001,Arkansas,418,2214656,18.9,16
White,2001,California,4585,27098184,16.9,18.6
White,2001,Colorado,836,4046133,20.7,26.8
White,2001,Connecticut,550,2965228,18.5,14.1
White,2001,Delaware,127,610442,20.8,19.1
White,2001,District of Columbia,41,204684,20,21.4
White,2001,Florida,3502,13392855,26.1,16.8
White,2001,Georgia,1226,5668444,21.6,26.3
White,2001,Hawaii,46,365535,12.6,15.4
White,2001,Idaho,293,1273704,23,24.9
White,2001,Illinois,1988,10015499,19.8,18
White,2001,Indiana,1175,5488228,21.4,20.7
White,2001,Iowa,860,2805838,30.7,22
White,2001,Kansas,619,2444755,25.3,20.5
White,2001,Kentucky,929,3707359,25.1,25.6
White,2001,Louisiana,795,2910410,27.3,26.8
White,2001,Maine,470,1256397,37.4,31.4
White,2001,Maryland,810,3546882,22.8,21.5
White,2001,Massachusetts,1484,5655031,26.2,21
White,2001,Michigan,1705,8230173,20.7,19.7
White,2001,Minnesota,1160,4544899,25.5,22.3
White,2001,Mississippi,367,1771836,20.7,18.9
White,2001,Missouri,1058,4870383,21.7,18.2
White,2001,Montana,248,835441,29.7,25.3
White,2001,Nebraska,420,1598826,26.3,20.9
White,2001,Nevada,202,1777260,11.4,15.5
White,2001,New Hampshire,302,1218748,24.8,25.5
White,2001,New Jersey,1279,6652117,19.2,15.7
White,2001,New Mexico,287,1572453,18.3,19.2
White,2001,New York,1637,14281400,11.5,9.3
White,2001,North Carolina,1555,6141590,25.3,25.8
White,2001,North Dakota,223,595709,37.4,25.7
White,2001,Ohio,2221,9816057,22.6,20.3
White,2001,Oklahoma,635,2807711,22.6,19.4
White,2001,Oregon,1016,3206792,31.7,27.9
White,2001,Pennsylvania,2619,10707684,24.5,17.9
White,2001,Rhode Island,246,953319,25.8,19
White,2001,South Carolina,706,2789474,25.3,25.9
White,2001,South Dakota,155,679387,22.8,16.2
White,2001,Tennessee,1043,4696634,22.2,21.7
White,2001,Texas,3209,17922031,17.9,22.6
White,2001,Utah,311,2161013,14.4,21.3
White,2001,Vermont,149,598383,24.9,23.4
White,2001,Virginia,1053,5394417,19.5,21.1
White,2001,Washington,1987,5223085,38,37.8
White,2001,West Virginia,384,1725478,22.3,18.9
White,2001,Wisconsin,1247,4918108,25.4,21.2
White,2001,Wyoming,112,473249,23.7,25.3
White,2002,Alabama,1032,3229712,32,29.4
White,2002,Alaska,54,468708,11.5,29
White,2002,Arizona,1400,4766279,29.4,29.3
White,2002,Arkansas,516,2224117,23.2,19.6
White,2002,California,5026,27309018,18.4,20.1
White,2002,Colorado,932,4097747,22.7,29.4
White,2002,Connecticut,554,2975939,18.6,13.8
White,2002,Delaware,119,615028,19.3,17.6
White,2002,District of Columbia,40,206332,19.4,20.7
White,2002,Florida,3833,13623576,28.1,18.2
White,2002,Georgia,1315,5727405,23,27.7
White,2002,Hawaii,50,371782,13.4,16.2
White,2002,Idaho,317,1291938,24.5,26.3
White,2002,Illinois,2216,10028334,22.1,19.9
White,2002,Indiana,1402,5501795,25.5,24.4
White,2002,Iowa,890,2803526,31.7,22.6
White,2002,Kansas,730,2450143,29.8,24.1
White,2002,Kentucky,977,3722159,26.2,26.8
White,2002,Louisiana,948,2916968,32.5,31.7
White,2002,Maine,512,1264617,40.5,33.7
White,2002,Maryland,717,3566844,20.1,18.6
White,2002,Massachusetts,1539,5648553,27.2,21.6
White,2002,Michigan,1838,8237822,22.3,20.8
White,2002,Minnesota,1184,4561120,26,22.5
White,2002,Mississippi,485,1773296,27.4,24.9
White,2002,Missouri,1143,4891238,23.4,19.7
White,2002,Montana,278,838973,33.1,27.8
White,2002,Nebraska,450,1603540,28.1,22.2
White,2002,Nevada,241,1828699,13.2,17.9
White,2002,New Hampshire,310,1229485,25.2,25.7
White,2002,New Jersey,1427,6667078,21.4,17.3
White,2002,New Mexico,312,1589442,19.6,20.5
White,2002,New York,1713,14276260,12,9.6
White,2002,North Carolina,1706,6214771,27.5,27.8
White,2002,North Dakota,292,593517,49.2,33.8
White,2002,Ohio,2417,9812513,24.6,21.8
White,2002,Oklahoma,706,2818258,25.1,21.6
White,2002,Oregon,1099,3242079,33.9,29.8
White,2002,Pennsylvania,2707,10705281,25.3,18.2
White,2002,Rhode Island,260,957652,27.1,19.7
White,2002,South Carolina,811,2820732,28.8,29.3
White,2002,South Dakota,165,679515,24.3,17.1
White,2002,Tennessee,1184,4723797,25.1,24.5
White,2002,Texas,3562,18192259,19.6,24.8
White,2002,Utah,301,2196834,13.7,20.2
White,2002,Vermont,163,600887,27.1,25.4
White,2002,Virginia,1211,5444069,22.2,23.7
White,2002,Washington,2135,5262109,40.6,40
White,2002,West Virginia,398,1728416,23,19.5
White,2002,Wisconsin,1321,4942435,26.7,22.2
White,2002,Wyoming,120,477938,25.1,26.9
White,2003,Alabama,1064,3241836,32.8,30.1
White,2003,Alaska,49,471541,10.4,26.2
White,2003,Arizona,1659,4854518,34.2,33.5
White,2003,Arkansas,501,2237427,22.4,19
White,2003,California,6112,27511542,22.2,24
White,2003,Colorado,878,4127630,21.3,26.9
White,2003,Connecticut,601,2986138,20.1,14.6
White,2003,Delaware,130,620499,21,18.6
White,2003,District of Columbia,28,206505,13.6,14.6
White,2003,Florida,4096,13838602,29.6,19.2
White,2003,Georgia,1395,5776586,24.1,29
White,2003,Hawaii,49,375506,13,15.1
White,2003,Idaho,353,1312571,26.9,28.5
White,2003,Illinois,2398,10037309,23.9,21.2
White,2003,Indiana,1440,5526320,26.1,24.7
White,2003,Iowa,878,2806004,31.3,22.1
White,2003,Kansas,754,2454735,30.7,24.8
White,2003,Kentucky,1042,3743343,27.8,28.4
White,2003,Louisiana,987,2926521,33.7,32.5
White,2003,Maine,461,1272827,36.2,29.9
White,2003,Maryland,739,3579519,20.6,18.7
White,2003,Massachusetts,1579,5630854,28,21.8
White,2003,Michigan,2016,8245792,24.4,22.3
White,2003,Minnesota,1224,4576328,26.7,22.8
White,2003,Mississippi,460,1776834,25.9,23.5
White,2003,Missouri,1240,4913336,25.2,21.2
White,2003,Montana,232,845586,27.4,22.9
White,2003,Nebraska,456,1609719,28.3,22.4
White,2003,Nevada,288,1880102,15.3,20
White,2003,New Hampshire,285,1237630,23,23.1
White,2003,New Jersey,1555,6674697,23.3,18.5
White,2003,New Mexico,339,1605625,21.1,21.8
White,2003,New York,1758,14263472,12.3,9.7
White,2003,North Carolina,1870,6271850,29.8,29.6
White,2003,North Dakota,336,592924,56.7,38
White,2003,Ohio,2709,9814964,27.6,24
White,2003,Oklahoma,742,2824128,26.3,22.7
White,2003,Oregon,1132,3267254,34.6,29.9
White,2003,Pennsylvania,2838,10711817,26.5,18.8
White,2003,Rhode Island,295,958870,30.8,22
White,2003,South Carolina,897,2850639,31.5,31.5
White,2003,South Dakota,173,681095,25.4,17.8
White,2003,Tennessee,1341,4757541,28.2,27.6
White,2003,Texas,3731,18440940,20.2,25.6
White,2003,Utah,330,2227843,14.8,21.7
White,2003,Vermont,171,602530,28.4,26.1
White,2003,Virginia,1292,5487553,23.5,24.7
White,2003,Washington,2304,5289159,43.6,42.3
White,2003,West Virginia,459,1733784,26.5,22.4
White,2003,Wisconsin,1379,4963767,27.8,22.6
White,2003,Wyoming,139,480960,28.9,30.7
White,2004,Alabama,1162,3255811,35.7,32.7
White,2004,Alaska,45,478466,9.4,21.7
White,2004,Arizona,1629,4965804,32.8,32.1
White,2004,Arkansas,582,2255345,25.8,21.9
White,2004,California,6355,27663667,23,24.7
White,2004,Colorado,879,4160952,21.1,26.2
White,2004,Connecticut,655,2986255,21.9,15.8
White,2004,Delaware,138,626833,22,19.1
White,2004,District of Columbia,53,210252,25.2,27.8
White,2004,Florida,4086,14131892,28.9,18.8
White,2004,Georgia,1440,5841377,24.7,29.5
White,2004,Hawaii,62,383013,16.2,18.4
White,2004,Idaho,342,1338380,25.6,27
White,2004,Illinois,2321,10047833,23.1,20.4
White,2004,Indiana,1475,5546480,26.6,25
White,2004,Iowa,958,2812023,34.1,23.9
White,2004,Kansas,738,2460978,30,24
White,2004,Kentucky,943,3763011,25.1,25.5
White,2004,Louisiana,1035,2940900,35.2,33.9
White,2004,Maine,508,1278082,39.7,32.6
White,2004,Maryland,736,3585789,20.5,18.3
White,2004,Massachusetts,1630,5600102,29.1,22.4
White,2004,Michigan,2099,8246288,25.5,22.9
White,2004,Minnesota,1220,4589934,26.6,22.5
White,2004,Mississippi,521,1786952,29.2,26.4
White,2004,Missouri,1308,4937590,26.5,22.2
White,2004,Montana,228,854417,26.7,21.9
White,2004,Nebraska,453,1616304,28,22.2
White,2004,Nevada,273,1947914,14,18.7
White,2004,New Hampshire,329,1245528,26.4,25.9
White,2004,New Jersey,1612,6670703,24.2,19
White,2004,New Mexico,317,1625510,19.5,20.1
White,2004,New York,1867,14222791,13.1,10.3
White,2004,North Carolina,1883,6355906,29.6,29.3
White,2004,North Dakota,312,596952,52.3,34.7
White,2004,Ohio,2710,9810680,27.6,23.8
White,2004,Oklahoma,799,2833383,28.2,24.4
White,2004,Oregon,1249,3281938,38.1,32.4
White,2004,Pennsylvania,3155,10708454,29.5,20.7
White,2004,Rhode Island,277,958378,28.9,20.3
White,2004,South Carolina,1033,2894711,35.7,35.3
White,2004,South Dakota,237,685440,34.6,23.7
White,2004,Tennessee,1461,4799162,30.4,29.6
White,2004,Texas,3995,18705854,21.4,27
White,2004,Utah,373,2264136,16.5,24
White,2004,Vermont,173,603896,28.6,26
White,2004,Virginia,1281,5550005,23.1,23.9
White,2004,Washington,2166,5334934,40.6,38.9
White,2004,West Virginia,482,1736570,27.8,23.5
White,2004,Wisconsin,1398,4986571,28,22.7
White,2004,Wyoming,104,485888,21.4,22.5
White,2005,Alabama,1282,3279048,39.1,35.4
White,2005,Alaska,47,482692,9.7,21.9
White,2005,Arizona,1772,5111992,34.7,33.4
White,2005,Arkansas,621,2278997,27.2,23.1
White,2005,California,7026,27746395,25.3,26.5
White,2005,Colorado,1027,4206548,24.4,29.7
White,2005,Connecticut,750,2984742,25.1,17.6
White,2005,Delaware,164,633398,25.9,21.9
White,2005,District of Columbia,38,215554,17.6,19.8
White,2005,Florida,4351,14428647,30.2,19.6
White,2005,Georgia,1496,5911406,25.3,29.6
White,2005,Hawaii,61,391585,15.6,17.7
White,2005,Idaho,404,1371294,29.5,30.9
White,2005,Illinois,2546,10046377,25.3,22
White,2005,Indiana,1559,5574542,28,26
White,2005,Iowa,1075,2816975,38.2,26.6
White,2005,Kansas,879,2467205,35.6,28.1
White,2005,Kentucky,1113,3790752,29.4,29.4
White,2005,Louisiana,1146,2951023,38.8,36.9
White,2005,Maine,475,1281091,37.1,30
White,2005,Maryland,804,3587986,22.4,19.4
White,2005,Massachusetts,1595,5570042,28.6,21.5
White,2005,Michigan,2239,8231910,27.2,24
White,2005,Minnesota,1303,4600739,28.3,23.6
White,2005,Mississippi,594,1794500,33.1,29.4
White,2005,Missouri,1544,4965900,31.1,25.9
White,2005,Montana,265,862916,30.7,24.9
White,2005,Nebraska,467,1624229,28.8,22.5
White,2005,Nevada,293,2002853,14.6,18.9
White,2005,New Hampshire,374,1251338,29.9,28.4
White,2005,New Jersey,1685,6654085,25.3,19.6
White,2005,New Mexico,321,1648132,19.5,19.7
White,2005,New York,1937,14146723,13.7,10.5
White,2005,North Carolina,2100,6456650,32.5,31.7
White,2005,North Dakota,283,596748,47.4,31.4
White,2005,Ohio,3175,9798651,32.4,27.4
White,2005,Oklahoma,914,2845221,32.1,27.7
White,2005,Oregon,1222,3315027,36.9,31
White,2005,Pennsylvania,3286,10707324,30.7,21.2
White,2005,Rhode Island,294,949218,31,21.2
White,2005,South Carolina,1107,2938716,37.7,36.8
White,2005,South Dakota,287,688470,41.7,28.6
White,2005,Tennessee,1861,4856223,38.3,36.9
White,2005,Texas,4246,18980757,22.4,27.8
White,2005,Utah,360,2313863,15.6,22.5
White,2005,Vermont,183,604380,30.3,27.1
White,2005,Virginia,1322,5605707,23.6,24.1
White,2005,Washington,2229,5383048,41.4,39.2
White,2005,West Virginia,494,1739381,28.4,23.8
White,2005,Wisconsin,1467,5005823,29.3,23.4
White,2005,Wyoming,108,490272,22,22.8
White,2006,Alabama,1286,3314160,38.8,34.7
White,2006,Alaska,61,487954,12.5,27.4
White,2006,Arizona,2013,5255478,38.3,36.5
White,2006,Arkansas,715,2308449,31,26
White,2006,California,7432,27773583,26.8,27.5
White,2006,Colorado,1024,4278464,23.9,28.3
White,2006,Connecticut,702,2982114,23.5,16.2
White,2006,Delaware,173,640053,27,22.5
White,2006,District of Columbia,41,221264,18.5,20.5
White,2006,Florida,4405,14634243,30.1,19.5
White,2006,Georgia,1528,6014480,25.4,29.1
White,2006,Hawaii,60,399166,15,16.5
White,2006,Idaho,395,1408456,28,29.1
White,2006,Illinois,2537,10054436,25.2,21.7
White,2006,Indiana,1627,5608431,29,26.5
White,2006,Iowa,1110,2828308,39.2,27
White,2006,Kansas,808,2478392,32.6,25.3
White,2006,Kentucky,1096,3819323,28.7,28.2
