Race,Year,State,Population
Black,2003,Kansas,173096
Black,2003,Kentucky,322254
Black,2003,Louisiana,1496609
Black,2003,Maine,12613
Black,2003,Maryland,1621856
Black,2003,Massachusetts,464146
Black,2003,Michigan,1488590
Black,2003,Minnesota,231089
Black,2003,Mississippi,1053803
Black,2003,Missouri,676844
Black,2003,Montana,5223
Black,2003,Nebraska,80408
Black,2003,Nevada,181213
Black,2003,New Hampshire,14715
Black,2003,New Jersey,1279601
Black,2003,New Mexico,46932
Black,2003,New York,3471007
Black,2003,North Carolina,1869334
Black,2003,North Dakota,6389
Black,2003,Ohio,1413170
Black,2003,Oklahoma,287387
Black,2003,Oregon,76251
Black,2003,Pennsylvania,1349739
Black,2003,Rhode Island,73027
Black,2003,South Carolina,1231581
Black,2003,South Dakota,8188
Black,2003,Tennessee,993443
Black,2003,Texas,2646739
Black,2003,Utah,27680
Black,2003,Virginia,1496240
Black,2003,Washington,250925
Black,2003,West Virginia,62866
Black,2003,Wisconsin,346353
Black,2003,Wyoming,5386
Black,2004,Alabama,1199192
Black,2004,Alaska,28663
Black,2004,Arizona,226956
Black,2004,Arkansas,438712
Black,2004,California,2603152
Black,2004,Colorado,208322
Black,2004,Connecticut,375875
Black,2004,Delaware,175605
Black,2004,District of Columbia,335297
Black,2004,Florida,2786446
Black,2004,Georgia,2635336
Black,2004,Hawaii,32914
Black,2004,Idaho,10823
Black,2004,Illinois,1944473
Black,2004,Indiana,575734
Black,2004,Iowa,81906
Black,2004,Kansas,175310
Black,2004,Kentucky,328546
Black,2004,Louisiana,1509822
Black,2004,Maine,13758
Black,2004,Maryland,1652016
Black,2004,Massachusetts,472524
Black,2004,Michigan,1492884
Black,2004,Minnesota,242890
Black,2004,Mississippi,1062637
Black,2004,Missouri,685468
Black,2004,Montana,5611
Black,2004,Nebraska,82391
Black,2004,Nevada,194114
Black,2004,New Hampshire,15590
Black,2004,New Jersey,1288238
Black,2004,New Mexico,48580
Black,2004,New York,3464246
Black,2004,North Carolina,1901343
Black,2004,Ohio,1427023
Black,2004,Oklahoma,290375
Black,2004,Oregon,77674
Black,2004,Pennsylvania,1372319
Black,2004,Rhode Island,75540
Black,2004,South Carolina,1244041
Black,2004,South Dakota,8828
Black,2004,Tennessee,1009077
Black,2004,Texas,2697339
Black,2004,Utah,29165
Black,2004,Vermont,5862
Black,2004,Virginia,1519571
Black,2004,Washington,257470
Black,2004,West Virginia,63682
Black,2004,Wisconsin,352749
Black,2004,Wyoming,5634
Black,2005,Alabama,1210903
Black,2005,Alaska,28771
Black,2005,Arizona,243074
Black,2005,Arkansas,442674
Black,2005,California,2615407
Black,2005,Colorado,211476
Black,2005,Connecticut,381552
Black,2005,Delaware,181480
Black,2005,District of Columbia,329329
Black,2005,Florida,2881786
Black,2005,Georgia,2702396
Black,2005,Hawaii,33769
Black,2005,Idaho,11770
Black,2005,Illinois,1944853
Black,2005,Indiana,586943
Black,2005,Iowa,85616
Black,2005,Kansas,176749
Black,2005,Kentucky,334402
Black,2005,Louisiana,1521031
Black,2005,Maine,15087
Black,2005,Maryland,1680707
Black,2005,Massachusetts,481830
Black,2005,Michigan,1494262
Black,2005,Minnesota,254634
Black,2005,Mississippi,1070369
Black,2005,Missouri,694231
Black,2005,Montana,5844
Black,2005,Nebraska,84487
Black,2005,Nevada,207275
Black,2005,New Hampshire,16470
Black,2005,New Jersey,1293607
Black,2005,New Mexico,50040
Black,2005,New York,3457681
Black,2005,North Carolina,1936792
Black,2005,North Dakota,7741
Black,2005,Ohio,1441701
Black,2005,Oklahoma,293204
Black,2005,Oregon,80011
Black,2005,Pennsylvania,1395186
Black,2005,Rhode Island,77032
Black,2005,South Carolina,1255105
Black,2005,South Dakota,9547
Black,2005,Tennessee,1026372
Black,2005,Texas,2753898
Black,2005,Utah,31217
Black,2005,Vermont,6377
Black,2005,Virginia,1541027
Black,2005,Washington,264736
Black,2005,West Virginia,64664
Black,2005,Wisconsin,359771
Black,2005,Wyoming,5845
Black,2006,Alabama,1230534
Black,2006,Alaska,29078
Black,2006,Arizona,262150
Black,2006,Arkansas,450382
Black,2006,California,2626937
Black,2006,Colorado,218810
Black,2006,Connecticut,388120
Black,2006,Delaware,187148
Black,2006,District of Columbia,325064
Black,2006,Florida,2969250
Black,2006,Georgia,2805927
Black,2006,Hawaii,33889
Black,2006,Idaho,12702
Black,2006,Illinois,1947836
Black,2006,Indiana,600368
Black,2006,Iowa,90031
Black,2006,Kansas,180509
Black,2006,Kentucky,339736
Black,2006,Louisiana,1369467
Black,2006,Maine,16243
Black,2006,Maryland,1705298
Black,2006,Massachusetts,492621
Black,2006,Michigan,1494911
Black,2006,Minnesota,268698
Black,2006,Mississippi,1080399
Black,2006,Missouri,704464
Black,2006,Montana,6227
Black,2006,Nebraska,86994
Black,2006,Nevada,221504
Black,2006,New Hampshire,17556
Black,2006,New Jersey,1298653
Black,2006,New Mexico,51749
Black,2006,New York,3453892
Black,2006,North Carolina,1986797
Black,2006,North Dakota,8174
Black,2006,Ohio,1457396
Black,2006,Oklahoma,299029
Black,2006,Oregon,83196
Black,2006,Pennsylvania,1421259
Black,2006,Rhode Island,78412
Black,2006,South Carolina,1273536
Black,2006,South Dakota,10173
Black,2006,Tennessee,1047600
Black,2006,Texas,2904002
Black,2006,Utah,33424
Black,2006,Vermont,6911
Black,2006,Virginia,1565510
Black,2006,Washington,275137
Black,2006,West Virginia,66217
Black,2006,Wisconsin,367132
Black,2006,Wyoming,6055
Black,2007,Alabama,1243867
Black,2007,Alaska,29592
Black,2007,Arizona,278537
Black,2007,Arkansas,453433
Black,2007,California,2639369
Black,2007,Colorado,224746
Black,2007,Connecticut,394640
Black,2007,Delaware,192615
Black,2007,District of Columbia,321494
Black,2007,Florida,3029024
Black,2007,Georgia,2891925
Black,2007,Hawaii,32822
Black,2007,Idaho,13628
Black,2007,Illinois,1951157
Black,2007,Indiana,612333
Black,2007,Iowa,94830
Black,2007,Kansas,183812
Black,2007,Kentucky,347061
Black,2007,Louisiana,1411396
Black,2007,Maine,17339
Black,2007,Maryland,1724204
Black,2007,Massachusetts,503993
Black,2007,Michigan,1492428
Black,2007,Minnesota,282436
Black,2007,Mississippi,1092496
Black,2007,Missouri,712454
Black,2007,Montana,6460
Black,2007,Nebraska,89065
Black,2007,Nevada,233966
Black,2007,New Hampshire,18115
Black,2007,New Jersey,1304334
Black,2007,New Mexico,53356
Black,2007,New York,3456802
Black,2007,North Carolina,2035660
Black,2007,North Dakota,8538
Black,2007,Ohio,1473382
Black,2007,Oklahoma,304098
Black,2007,Oregon,86203
Black,2007,Pennsylvania,1445762
Black,2007,Rhode Island,80091
Black,2007,South Carolina,1289462
Black,2007,South Dakota,11082
Black,2007,Tennessee,1062187
Black,2007,Texas,2962118
Black,2007,Utah,36225
Black,2007,Vermont,7264
Black,2007,Virginia,1583256
Black,2007,Washington,283382
Black,2007,West Virginia,67505
Black,2007,Wisconsin,374709
Black,2007,Wyoming,6455
Black,2008,Alabama,1259177
Black,2008,Alaska,30075
Black,2008,Arizona,294617
Black,2008,Arkansas,458375
Black,2008,California,2662354
Black,2008,Colorado,231792
Black,2008,Connecticut,401643
Black,2008,Delaware,197813
Black,2008,District of Columbia,318392
Black,2008,Florida,3086395
Black,2008,Georgia,2962628
Black,2008,Hawaii,33067
Black,2008,Idaho,14244
Black,2008,Illinois,1955231
Black,2008,Indiana,624185
Black,2008,Iowa,99622
Black,2008,Kansas,188485
Black,2008,Kentucky,352036
Black,2008,Louisiana,1444476
Black,2008,Maine,18505
Black,2008,Maryland,1741767
Black,2008,Massachusetts,517040
Black,2008,Michigan,1485681
Black,2008,Minnesota,294544
Black,2008,Mississippi,1103216
Black,2008,Missouri,719723
Black,2008,Montana,6665
Black,2008,Nebraska,91900
Black,2008,Nevada,244200
Black,2008,New Hampshire,18948
Black,2008,New Jersey,1311696
Black,2008,New Mexico,54341
Black,2008,New York,3473867
Black,2008,North Carolina,2084901
Black,2008,North Dakota,8994
Black,2008,Ohio,1488002
Black,2008,Oklahoma,307270
Black,2008,Oregon,89386
Black,2008,Pennsylvania,1469600
Black,2008,Rhode Island,81603
Black,2008,South Carolina,1308465
Black,2008,South Dakota,11798
Black,2008,Tennessee,1074684
Black,2008,Texas,3027152
Black,2008,Utah,38231
Black,2008,Vermont,7759
Black,2008,Virginia,1602530
Black,2008,Washington,294548
Black,2008,West Virginia,68836
Black,2008,Wisconsin,381998
Black,2008,Wyoming,6502
Black,2009,Alabama,1271247
Black,2009,Alaska,30573
Black,2009,Arizona,308020
Black,2009,Arkansas,462207
Black,2009,California,2691724
Black,2009,Colorado,239309
Black,2009,Connecticut,409897
Black,2009,Delaware,201775
Black,2009,District of Columbia,317978
Black,2009,Florida,3133488
Black,2009,Georgia,3023009
Black,2009,Hawaii,33296
Black,2009,Idaho,15054
Black,2009,Illinois,1960826
Black,2009,Indiana,635234
Black,2009,Iowa,104045
Black,2009,Kansas,192058
Black,2009,Kentucky,359228
Black,2009,Louisiana,1468988
Black,2009,Maine,19452
Black,2009,Maryland,1764644
Black,2009,Massachusetts,530509
Black,2009,Michigan,1481101
Black,2009,Minnesota,304750
Black,2009,Mississippi,1108721
Black,2009,Missouri,728187
Black,2009,Montana,6917
Black,2009,Nebraska,94396
Black,2009,Nevada,251426
Black,2009,New Hampshire,19530
Black,2009,New Jersey,1323532
Black,2009,New Mexico,56276
Black,2009,New York,3498751
Black,2009,North Carolina,2125058
Black,2009,North Dakota,9994
Black,2009,Ohio,1501406
Black,2009,Oklahoma,314025
Black,2009,Oregon,92275
Black,2009,Pennsylvania,1492281
Black,2009,Rhode Island,83320
Black,2009,South Carolina,1320564
Black,2009,South Dakota,12745
Black,2009,Tennessee,1087674
Black,2009,Texas,3101293
Black,2009,Utah,40659
Black,2009,Vermont,8372
Black,2009,Virginia,1623781
Black,2009,Washington,305941
Black,2009,West Virginia,70465
Black,2009,Wisconsin,389316
Black,2009,Wyoming,7133
Black,2010,Alabama,1279072
Black,2010,Alaska,31404
Black,2010,Arizona,316039
Black,2010,Arkansas,466200
Black,2010,California,2718779
Black,2010,Colorado,245200
Black,2010,Connecticut,416130
Black,2010,Delaware,204730
Black,2010,District of Columbia,317619
Black,2010,Florida,3172720
Black,2010,Georgia,3057817
Black,2010,Hawaii,33390
Black,2010,Idaho,15104
Black,2010,Illinois,1965842
Black,2010,Indiana,643598
